X.clade_name	clade_taxid	p1	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p2	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p3	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p4	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p5	p6	p7	p8	p9
k__Bacteria	2	10428372	7854689	18767897	13688316	9346814	11967804	15880965	9629057	18545554	14156254	7948312	30301762	21007772	19016189	7201611	13036273	5538790	3586736	4928641	5289550	7921495	2713636	10622350	4608189	2542657	5694312	2249552	3274653	5543753	8274897	6601449	4351241	11113402	15357677	4356051	5104000	6212528	6514551	15374977	12505567	9335605	8728051	8029274	4155088	13127799	9473895	15557695	12338085	16574566
k__Bacteria|p__Firmicutes	2|1239	 6652433	4931263	 7920936	 7791182	6177627	 5069231	 6415026	7362115	 7182517	 8150668	3720624	14403542	 7689216	 3827774	4455147	 5615107	 959623	1117474	1531622	1253746	 712167	1125912	 4991588	1489884	 639746	1067354	 996503	2236328	2444908	3425211	1500293	1813324	 1976545	 9557663	 632187	1024976	1250483	 373270	 1656449	 2699341	1388389	3652136	2957293	1551013	 7016976	5687870	 8854967	 9196951	11771914
k__Bacteria|p__Actinobacteria	2|201174	 1691602	 515920	  297109	   63118	 370764	  756118	  591649	1072476	  299603	 2192173	 394504	  838993	  156175	  902271	1775523	  565248	  27060	 599944	 487207	  80295	 196257	  84351	  146179	 480682	 301025	 380480	 720861	  75580	 516246	1393722	 144364	  72728	  184727	  672752	 242527	1198460	 181636	3733571	    8525	  132800	 196497	1239323	 535701	1186919	  400623	1654113	 1694309	  164842	   30603
k__Bacteria|p__Bacteroidetes	2|976	 1900063	1752491	10136583	 5739366	2693567	 5835815	 8850189	1149555	10809722	 3670000	3563713	13801896	13043434	14162237	 876180	 6668448	4545541	1431787	1380548	3706585	6999600	1436901	 4888155	2620141	1107221	4245828	 366237	 363654	2438974	3365696	4938573	2422677	 8821620	 4896092	3473944	2759570	4773053	2153473	13583366	 9084751	7723014	3380689	4371540	1218249	 5047912	1890153	 4979086	 2464661	 4749751
k__Bacteria|p__Verrucomicrobia	2|74201	  108650	   3232	  240543	NA	  30054	   80054	    4541	   5796	NA	  129066	NA	  743539	   97168	NA	  49976	    1530	NA	 380188	  22578	  27694	NA	NA	  158778	   3233	 118145	NA	 143495	NA	  87549	NA	    947	NA	  125897	   67373	   1979	  32600	NA	  29060	  104914	  143603	    352	   6586	NA	  50313	  642636	 156452	NA	  508449	    2990
k__Bacteria|p__Proteobacteria	2|1224	   66835	 651466	  168867	   94650	  37399	   31849	   19560	  38432	   93446	   14347	 260525	  513792	   21288	  123907	  44785	  176652	   6566	  55080	1474899	 221230	  13471	  63803	  437650	   8774	 359515	    650	  20222	 599091	  42266	  90268	  17272	  42512	    4613	  153533	   5414	  88394	   7356	 221818	   21723	  442029	  27353	 448196	 164580	 124389	   19652	  65246	   29333	    3182	   13101
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	    8372	    317	NA	NA	NA	  192663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	    174	NA	NA	    3422
k__Bacteria|p__Fusobacteria	2|32066	     417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   3359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	    2785
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	 6183409	4391697	 7821303	 7177287	5932887	 5007262	 5901915	5835144	 6205716	 7541782	3501135	13983863	 6973171	 3238542	4276906	 5451895	 868992	1052491	1363654	1213605	 397985	1026508	 4728616	 988330	 573340	 927196	 770919	2055251	2345204	3352719	1379909	1561158	 1690949	 8730089	 582651	 960102	1171116	 174440	 1594199	 2446908	 164975	3080483	2938163	1098393	 6853345	5400954	 8647441	 9004760	11664072
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	 1460613	 337139	  143029	    3524	 176347	  562281	  434791	 850690	   19572	 1549402	 219656	  356602	   34100	  168996	1746727	  428199	   3519	 499017	 391102	  54661	 109063	  23338	  116588	 385019	 225117	 297142	 539968	   7538	 444896	1393722	  32856	  30918	   17413	   97151	  38369	1068840	  24086	3029471	NA	   42353	 146988	 643530	 472947	1076942	  184642	1287126	 1309519	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	 1900063	1752491	10136583	 5739366	2693567	 5835815	 8850189	1149555	10809722	 3670000	3563713	13801896	13043434	14162237	 876180	 6668448	4545541	1431787	1380548	3706585	6999600	1436901	 4888155	2620141	1107221	4245828	 366237	 363654	2438974	3365696	4938573	2422677	 8821620	 4896092	3473944	2759570	4773053	2153473	13583366	 9084751	7723014	3380689	4371540	1218249	 5047912	1890153	 4979086	 2464661	 4749751
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	  330315	 353429	    9400	   38438	  82827	    8945	   33625	 179486	  404300	  184019	 110202	   38647	  125390	  209157	 133081	   56371	   8362	   6870	  42632	  23777	   3607	  83238	  157741	  58933	  47488	   7047	  42893	  56575	   6902	NA	   6613	  20184	     747	  431887	   2466	   3831	   3025	  30183	    7139	   27307	  28506	  18513	   6989	  55146	   85603	 134154	   53303	  117384	   45936
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	  230989	 178781	  154080	   59594	 194417	  193837	  156858	 221786	  280031	  642771	 174848	  482391	  122075	  733275	  28796	  137049	  23541	 100927	  96105	  25634	  87194	  61013	   29591	  95663	  75908	  83338	 180893	  68042	  71350	NA	 111508	  41810	  167314	  575601	 204158	 129620	 157550	 704100	    8525	   90447	  49509	 595793	  62754	 109977	  215981	 366987	  384790	  164842	   30603
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	   98193	  27854	   61847	  104209	   6292	   18915	   18850	 582120	  436192	   86892	  33441	    6168	   11354	   78055	   9847	   19457	  73019	  50865	 107604	   2382	  32582	    750	    9231	  28137	NA	  57999	 166001	   3619	  20071	   2507	  76322	 223669	NA	   18573	  47070	  40498	  74921	  17790	    8176	  124519	1023003	 376752	   1337	 366740	    6907	    981	   65852	    5934	   18899
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	  108650	   3232	  240543	NA	  30054	   80054	    4541	   5796	NA	  129066	NA	  743539	   97168	NA	  49976	    1530	NA	 380188	  22578	  27694	NA	NA	  158778	   3233	 118145	NA	 143495	NA	  87549	NA	    947	NA	  125897	   67373	   1979	  32600	NA	  29060	  104914	  143603	    352	   6586	NA	  50313	  642636	 156452	NA	  508449	    2990
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	   64638	  10929	   21968	   91810	   4852	    3821	     491	    597	    7591	   13146	   3268	    2857	    4103	     367	  22769	   90460	    178	NA	  15733	   5724	NA	    117	   89062	    833	    522	NA	NA	NA	  38950	  18092	   2061	NA	NA	    3158	NA	   2344	    124	    111	NA	NA	NA	NA	 148316	   2085	   14310	   1048	     236	NA	    7561
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	   30743	 102658	   20942	   40720	 155621	   20610	   82388	 645413	   74903	   76487	  62907	   70969	  453833	  175784	   7955	   50861	   1551	NA	  14696	NA	 240968	  15416	   90406	 407669	NA	  18981	   1151	 103280	  72731	  58691	  37449	    634	  284849	  147720	NA	  20545	   1421	   5505	   42177	   91215	 171746	 168464	  10804	   5674	   71121	 148420	   85822	   47024	   43007
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	    8372	    317	NA	NA	NA	  192663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	    174	NA	NA	    3422
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	    9773	  55625	    7444	  430528	NA	   12652	  378248	 119952	   61406	  261488	  12939	  303895	  125468	  126236	  27358	   36523	   7699	   7248	   3036	  13982	  37025	NA	    5594	   6815	  18918	  56131	  15539	  17603	NA	  11294	NA	   7679	NA	  229394	NA	NA	NA	  90314	    4758	    9392	    159	   7924	NA	  25060	NA	   3361	    2549	   21849	NA
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	    1711	    147	   64442	    2652	NA	NA	NA	NA	   60726	NA	NA	NA	NA	    2591	   1984	    3837	NA	NA	    260	NA	NA	NA	    3852	NA	NA	NA	NA	NA	   1147	  63252	   2232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   4607	NA	    4862	NA	NA	NA	NA
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	     417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   3359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	    2785
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	     486	NA	    5765	NA	  18232	    9266	    2943	   6074	   25129	    1201	  67374	  110333	   17058	   17729	NA	NA	   2388	   9126	  78542	  11844	NA	  63686	   10098	   4427	  32584	    650	   8359	  25244	   2169	NA	   4084	   1342	    3154	  147157	   1244	    931	   1650	  20869	   21723	   99176	NA	  27548	  11657	  75225	     480	  33469	   27006	NA	NA
