X.clade_name	clade_taxid	p1	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p2	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p3	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p4	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p5	p6	p7	p8	p9
k__Bacteria	2	100.00000	96.24528	99.76248	98.46684	97.94150	99.49403	99.71504	99.86292	96.24062	99.11499	98.75970	100.00000	100.00000	100.00000	83.70090	98.04882	100.00000	99.92641	99.99740	100.00000	100.00000	97.16411	98.16731	99.52605	98.66565	100.00000	100.00000	99.74290	100.00000	100.00000	99.98318	100.00000	100.00000	99.89564	100.00000	100.00000	100.00000	100.00000	100.00000	99.82252	99.96670	100.00000	100.00000	99.18952	100.00000	93.18045	99.28678	100.00000	100.00000
k__Bacteria|p__Firmicutes	2|1239	 64.36835	64.51428	50.06247	63.62246	69.89448	47.03457	42.77323	77.48003	46.28699	59.24881	53.07826	 55.85598	 43.42651	 24.97855	51.83921	49.73585	 19.60601	32.24505	37.18493	 27.89205	 11.25068	47.08380	55.73273	36.88163	30.95498	 20.53291	 45.37097	79.05705	 48.70173	 42.37794	27.81154	 47.11610	 20.23414	66.18034	 16.14233	 21.39447	 22.42282	  5.82647	 15.34677	27.91302	22.17828	 44.80282	 42.04617	40.55784	 60.85940	56.61243	62.83239	 77.15214	 79.59176
k__Bacteria|p__Actinobacteria	2|201174	 20.43473	 8.84108	 2.46571	 0.67600	 5.18109	 9.56204	 5.52793	13.85460	 2.29258	20.22511	 6.88615	  4.08256	  1.14647	  8.22873	25.42831	 6.21641	  0.74985	23.74284	15.42506	  2.41192	  3.80037	 4.26324	 1.88636	14.95931	17.45058	 10.21752	 37.43087	 2.97406	 14.26111	 27.00552	 3.47591	  2.51018	  2.35132	 6.31739	  8.58562	 32.25204	  4.42539	 72.48816	  0.08278	 1.87345	 3.04155	 19.63229	 10.87242	35.18825	  4.34527	21.17339	15.56170	  1.92101	  0.20970
k__Bacteria|p__Bacteroidetes	2|976	 13.38814	17.77507	44.42838	33.31104	22.03083	39.32614	51.29258	 8.23335	45.93211	18.54671	36.25227	 35.61858	 54.75207	 66.24586	 5.40233	40.68874	 79.55249	31.73461	24.66576	 66.00244	 84.83691	43.18911	35.74502	47.39993	34.98912	 69.23535	 10.38729	 7.37401	 34.03156	 28.83122	68.39708	 49.75291	 75.99303	25.76436	 75.05936	 44.59299	 73.00408	 19.19425	 83.29871	65.14572	74.55076	 32.23984	 44.45519	19.37572	 28.81446	13.06445	20.69049	 16.02613	 20.04462
k__Bacteria|p__Verrucomicrobia	2|74201	  1.04496	 0.04551	 1.71622	NA	 0.33634	 0.81820	 0.03446	 0.05942	NA	 0.97817	NA	  3.08513	  0.58026	NA	 0.57852	 0.01379	NA	11.17444	 0.58064	  0.65661	NA	NA	 1.72939	 0.07851	 5.32118	NA	  6.23191	NA	  1.93097	NA	 0.01857	NA	  1.39059	 0.50663	  0.05612	  0.69741	NA	  0.46466	  1.12384	 1.64652	 0.00442	  0.08307	NA	 1.19102	  5.79041	 1.63215	NA	  4.88408	  0.02149
k__Bacteria|p__Proteobacteria	2|1224	  0.65516	 5.06360	 1.07289	 0.85733	 0.27410	 0.20424	 0.08684	 0.23007	 0.79585	 0.11619	 2.47479	  1.35775	  0.09311	  0.54686	 0.45253	 1.32799	  0.09165	 0.97249	21.49369	  3.03698	  0.11203	 2.56988	 3.07381	 0.13530	 9.36980	  0.01422	  0.52689	10.33779	  0.91116	  1.78533	 0.28007	  0.62081	  0.03092	 1.08548	  0.15657	  1.06310	  0.14771	  1.96280	  0.14789	 3.22508	 0.19171	  3.23439	  2.62481	 2.43707	  0.19046	 0.53728	 0.20220	  0.01665	  0.07524
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	  0.10353	 0.00574	NA	NA	NA	 2.53189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 0.00234	NA	NA	  0.03163
k__Bacteria|p__Fusobacteria	2|32066	  0.00513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  0.06365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  0.02556
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	 58.05496	54.15718	49.13128	58.55779	66.62512	46.22941	39.46875	57.15197	35.89100	53.57204	49.00308	 53.89796	 37.65466	 19.60041	49.61119	48.03990	 17.23840	29.68955	31.61612	 26.91379	  5.87271	41.96351	52.48255	22.68358	27.72530	 17.25891	 32.51594	72.90941	 46.03896	 41.16557	24.91696	 38.52633	 15.85485	58.67473	 14.31538	 19.61495	 20.38932	  1.99049	 14.38146	24.04282	 1.97393	 35.51579	 41.64398	26.50471	 58.87251	52.87940	60.79837	 74.58226	 78.71458
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	 17.75124	 5.72378	 1.26414	 0.03744	 2.46914	 7.18877	 4.05141	10.98045	 0.15402	14.55165	 3.76465	  1.77936	  0.24676	  1.54014	25.12610	 4.70308	  0.09786	19.95895	12.59750	  1.63764	  2.10464	 1.19370	 1.50100	12.04537	13.08962	  7.99584	 27.56365	 0.29911	 12.32395	 27.00552	 0.80852	  1.13120	  0.23720	 0.90774	  1.27303	 28.75331	  0.55617	 60.42062	NA	 0.60827	 2.32813	 10.18190	  9.64619	32.00365	  2.06107	16.34360	11.97666	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	 13.38814	17.77507	44.42838	33.31104	22.03083	39.32614	51.29258	 8.23335	45.93211	18.54671	36.25227	 35.61858	 54.75207	 66.24586	 5.40233	40.68874	 79.55249	31.73461	24.66576	 66.00244	 84.83691	43.18911	35.74502	47.39993	34.98912	 69.23535	 10.38729	 7.37401	 34.03156	 28.83122	68.39708	 49.75291	 75.99303	25.76436	 75.05936	 44.59299	 73.00408	 19.19425	 83.29871	65.14572	74.55076	 32.23984	 44.45519	19.37572	 28.81446	13.06445	20.69049	 16.02613	 20.04462
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	  4.37376	 7.22845	 0.07580	 0.48078	 1.05378	 0.10778	 0.27001	 2.01278	 4.48822	 1.86507	 1.87577	  0.17650	  1.11582	  2.29309	 1.69007	 0.60993	  0.23100	 0.25095	 1.26901	  0.64051	  0.06977	 4.35735	 1.59340	 1.82312	 2.49048	  0.17391	  2.22925	 1.67998	  0.18569	NA	 0.15158	  0.64526	  0.00880	 4.44981	  0.08836	  0.09940	  0.08906	  0.72146	  0.11433	 0.42150	 0.42755	  0.33715	  0.17165	 1.44138	  1.13340	 1.79261	 0.47115	  1.67803	  0.33127
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	  2.68349	 3.11730	 1.20157	 0.63856	 2.71195	 2.37327	 1.47652	 2.87415	 2.13856	 5.67345	 3.12150	  2.30320	  0.89971	  6.68859	 0.30221	 1.51333	  0.65199	 3.78389	 2.82756	  0.77428	  1.69573	 3.06954	 0.38536	 2.91395	 4.36096	  2.22168	  9.86722	 2.67495	  1.93716	NA	 2.66739	  1.37898	  2.11412	 5.40965	  7.31259	  3.49872	  3.86921	 12.06754	  0.08278	 1.26518	 0.71342	  9.45039	  1.22623	 3.18460	  2.28420	 4.82980	 3.58503	  1.92101	  0.20970
