Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,BP,Comm,Graph
GO_Biological_Process_2018,flavonoid glucuronidation (GO:0052696),9/9,2.60E-11,9.35E-08,0,0,inf,inf,UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6,GO_Biological_Process_2018,c1,PD
GO_Biological_Process_2018,xenobiotic glucuronidation (GO:0052697),9/11,1.26E-09,2.27E-06,0,0,63.23381024,1295.600497,UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6,GO_Biological_Process_2018,c1,PD
GO_Biological_Process_2018,cellular glucuronidation (GO:0052695),9/17,3.86E-07,0.000463507,0,0,15.80336973,233.3602629,UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6,GO_Biological_Process_2018,c1,PD
GO_Biological_Process_2018,coumarin metabolic process (GO:0009804),5/6,7.51E-06,0.006759457,0,0,70.05255255,826.5451433,CYP2A7;CYP2A6;CYP2D6;UGT1A8;UGT1A7,GO_Biological_Process_2018,c1,PD
GO_Biological_Process_2018,glucuronate metabolic process (GO:0019585),7/14,1.33E-05,0.009556276,0,0,14.02706767,157.5173848,UGT1A10;UGT1A1;UGT1A4;UGT1A3;UGT1A9;UGT1A7;UGT1A6,GO_Biological_Process_2018,c1,PD
GO_Biological_Process_2018,retinoic acid metabolic process (GO:0042573),7/15,2.35E-05,0.014068517,0,0,12.27302632,130.8361996,CYP26A1;ALDH1A3;UGT1A1;UGT1A3;UGT1A9;UGT1A8;UGT1A7,GO_Biological_Process_2018,c1,PD
GO_Biological_Process_2018,cytokine-mediated signaling pathway (GO:0019221),68/633,7.24E-05,0.037213413,0,0,1.716443161,16.3638605,EDA;IFNA1;IL25;FLT3;TRADD;HFE;EDA2R;IL18BP;OASL;PSMD9;CASP1;CCR5;TRIM21;IL15RA;TRIM62;CISH;GPR35;MMP2;IL19;IL16;GP1BA;IRAK4;IL23A;OAS2;IRF4;TRAF6;CSNK2B;PSME1;LTA;BIRC5;IRF5;IRF6;LTB;IL9R;CEBPA;RNASEL;LRTM1;EBI3;ALOX15;NOD1;CNN2;DUOX1;MUC1;SOCS1;ALOX5;CHAD;CCL1;IL12RB1;IFNA21;STAT5A;IL32;CCL22;CD70;TNFRSF9;MX2;LIF;PSMB8;BATF;CXCL10;CXCL12;TEC;TNFSF4;PSMC1;CLCF1;PSMC2;TNFSF8;IL7R;MYD88,GO_Biological_Process_2018,c1,PD
GO_Biological_Process_2018,indolalkylamine catabolic process (GO:0046218),5/9,0.000133003,0.043516075,0,0,17.51032282,156.2820985,KYNU;HAAO;KYAT1;KMO;IDO1,GO_Biological_Process_2018,c1,PD
GO_Biological_Process_2018,negative regulation of T cell apoptotic process (GO:0070233),5/9,0.000133003,0.043516075,0,0,17.51032282,156.2820985,BMP4;PTCRA;PIP;PRKCQ;FADD,GO_Biological_Process_2018,c1,PD
GO_Biological_Process_2018,smoothened signaling pathway (GO:0007224),9/30,0.000102793,0.043516075,0,0,6.016135972,55.24495931,BMP4;TTC26;STIL;TCTN3;TCTN2;IHH;PKD2L1;B9D1;TMEM231,GO_Biological_Process_2018,c1,PD
