#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/sllstore2017024/hong/SZAOMICS_metagenomics/fastq1/Feces_20020_Visit1_S95_R1_001.fastq.gz --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:11510692
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	3.24402	11113402
k__Bacteria|p__Bacteroidetes	2|976	75.99303	2.46523	8821620
k__Bacteria|p__Firmicutes	2|1239	20.23414	0.6564	1976545
k__Bacteria|p__Actinobacteria	2|201174	2.35132	0.07628	184727
k__Bacteria|p__Verrucomicrobia	2|74201	1.39059	0.04511	125897
k__Bacteria|p__Proteobacteria	2|1224	0.03092	0.001	4613
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	75.99303	2.46523	8821620
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	15.85485	0.51433	1690949
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	4.37048	0.14178	284849
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.11412	0.06858	167314
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.39059	0.04511	125897
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.2372	0.00769	17413
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.02214	0.00072	3154
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.0088	0.00029	747
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.00878	0.00028	1459
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	75.99303	2.46523	8821620
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	15.85485	0.51433	1690949
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	3.98475	0.12927	255855
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	1.39059	0.04511	125897
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.37263	0.04453	97528
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.74149	0.02405	69786
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.38573	0.01251	28994
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.2372	0.00769	17413
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.02214	0.00072	3154
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.0088	0.00029	747
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.00878	0.00028	1459
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	73.2462	2.37612	8386264
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	10.93563	0.35475	1221930
