#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/snic2020-6-153/wellnessV1234/2951_v1_1.fastq.gz,/proj/snic2020-6-153/wellnessV1234/2951_v1_2.fastq.gz --bowtie2out 2951.bowtie2.bz2 --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:14556189
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	3.97669	13127799
k__Bacteria|p__Firmicutes	2|1239	60.8594	2.42019	7016976
k__Bacteria|p__Bacteroidetes	2|976	28.81446	1.14586	5047912
k__Bacteria|p__Verrucomicrobia	2|74201	5.79041	0.23027	642636
k__Bacteria|p__Actinobacteria	2|201174	4.34527	0.1728	400623
k__Bacteria|p__Proteobacteria	2|1224	0.19046	0.00757	19652
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	58.87251	2.34118	6853345
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	28.81446	1.14586	5047912
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	5.79041	0.23027	642636
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.2842	0.09084	215981
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	2.06107	0.08196	184642
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.1334	0.04507	85603
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.77184	0.03069	71121
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.12791	0.00509	14310
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.08164	0.00325	6907
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.05979	0.00238	4862
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00275	0.00011	480
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	58.87251	2.34118	6853345
