#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/snic2022-22-166/ozlem/KCL22/ERR011285_1.fastq --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8294382
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.1371	7822484
k__Bacteria|p__Bacteroidetes	2|976	82.88176	1.77126	6822241
k__Bacteria|p__Firmicutes	2|1239	16.44523	0.35145	962172
k__Bacteria|p__Actinobacteria	2|201174	0.45716	0.00977	21949
k__Bacteria|p__Proteobacteria	2|1224	0.19171	0.0041	15497
k__Bacteria|p__Chlamydiae	2|204428	0.02414	0.00052	625
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	82.88176	1.77126	6822241
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	8.56946	0.18314	568361
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	7.42611	0.1587	367931
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.24831	0.00531	9907
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.24606	0.00526	11752
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.2111	0.00451	10197
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.13753	0.00294	11480
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.11894	0.00254	12067
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.08241	0.00176	3906
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.02886	0.00062	1465
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.02532	0.00054	2552
k__Bacteria|p__Chlamydiae|c__Chlamydiia	2|204428|204429	0.02414	0.00052	625
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	82.88176	1.77126	6822241
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	8.56946	0.18314	568361
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	7.27243	0.15542	361783
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.24831	0.00531	9907
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.24606	0.00526	11752
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.16616	0.00355	7795
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.15368	0.00328	6148
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.13753	0.00294	11480
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.11894	0.00254	12067
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.08241	0.00176	3906
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.04494	0.00096	2402
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.02886	0.00062	1465
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales	2|204428|204429|51291	0.02414	0.00052	625
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.022	0.00047	2409
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.00332	7e-05	143
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	61.09809	1.30573	4771103
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	16.49812	0.35258	1672070
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	7.27243	0.15542	361783
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	5.2101	0.11134	338221
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	2.68962	0.05748	194887
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	2.59083	0.05537	137001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	1.70503	0.03644	171691
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.84106	0.01797	56992
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	0.54094	0.01156	27070
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.24831	0.00531	9907
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.24606	0.00526	11752
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.16616	0.00355	7795
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	0.15368	0.00328	6148
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.14863	0.00318	13384
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	0.13753	0.00294	11480
