X.clade_name	clade_taxid	ERR011273_profile_count.txt	ERR011275_profile_count.txt	ERR011277_profile_count.txt	ERR011279_profile_count.txt	ERR011281_profile_count.txt	ERR011283_profile_count.txt	ERR011285_profile_count.txt	ERR011287_profile_count.txt	ERR011289_profile_count.txt	ERR011291_profile_count.txt	ERR011295_profile_count.txt	ERR011297_profile_count.txt	ERR011299_profile_count.txt	ERR011303_profile_count.txt	ERR011307_profile_count.txt	ERR011313_profile_count.txt	ERR011321_profile_count.txt	ERR011327_profile_count.txt	ERR011329_profile_count.txt	ERR011331_profile_count.txt	ERR011333_profile_count.txt	ERR011335_profile_count.txt	ERR011341_profile_count.txt	ERR2809_profile_count.txt	ERR2838_profile_count.txt	ERR2849_profile_count.txt	ERR2859_profile_count.txt	ERR2881_profile_count.txt	ERR2951_profile_count.txt	ERR2996_profile_count.txt	ERR3003_profile_count.txt	ERR3016_profile_count.txt	ERR3019_profile_count.txt	ERR3028_profile_count.txt	ERR3068_profile_count.txt	ERR3112_profile_count.txt	ERR3119_profile_count.txt	ERR3162_profile_count.txt	ERR3163_profile_count.txt	ERR3188_profile_count.txt	ERR3210_profile_count.txt	ERR3216_profile_count.txt	ERR3217_profile_count.txt	ERR3250_profile_count.txt	ERR3264_profile_count.txt	ERR3283_profile_count.txt
k__Bacteria	2	3696706	5558629	2358460	4445373	1840188	2254556	7822484	6514070	2892033	3533371	6024569	4312615	5430745	7374753	8899990	4997098	3607246	4033961	5432857	3585964	5974603	2392894	5454555	10428372	30301762	10622350	15357677	9473895	13127799	15557695	12338085	13688316	13036273	7201611	7948312	16574566	21007772	9629057	19016189	7854689	18767897	11967804	9346814	15880965	18545554	14156254
k__Archaea	2157	  15549	NA	  19386	   7610	  16540	NA	NA	NA	NA	NA	NA	NA	   5347	NA	NA	NA	NA	  14470	NA	   7312	NA	   1026	NA	NA	NA	  106558	    8788	 413982	NA	   60852	NA	  106632	  137118	 891690	  55283	NA	NA	   8454	NA	 169162	   21082	   31350	 116187	   23787	  320591	   73951
k__Bacteria|p__Bacteroidetes	2|976	2796612	 390837	 958313	2071085	1397959	1312669	6822241	5341234	1880998	2096596	3869114	2692645	3865596	6449295	8134634	4274328	2955323	2324018	3374957	1298394	1797188	1321843	2440467	 1900063	13801896	 4888155	 4896092	1890153	 5047912	 4979086	 2464661	 5739366	 6668448	 876180	3563713	 4749751	13043434	1149555	14162237	1752491	10136583	 5835815	2693567	 8850189	10809722	 3670000
k__Bacteria|p__Firmicutes	2|1239	 854826	4984298	1278783	2330100	 442229	 901367	 962172	1072247	 968924	1317356	1942122	1068221	1457093	 847788	 679808	 649318	 563761	1632177	1530989	1776108	3427492	 976315	2821652	 6652433	14403542	 4991588	 9557663	5687870	 7016976	 8854967	 9196951	 7791182	 5615107	4455147	3720624	11771914	 7689216	7362115	 3827774	4931263	 7920936	 5069231	6177627	 6415026	 7182517	 8150668
k__Bacteria|p__Actinobacteria	2|201174	  19878	 170064	  93405	  35463	NA	  32640	  21949	  10027	  26997	  98570	 176355	 212549	  86024	  44199	   2173	  68521	   8897	  50404	 510801	 506465	 672950	  13347	  30596	 1691602	  838993	  146179	  672752	1654113	  400623	 1694309	  164842	   63118	  565248	1775523	 394504	   30603	  156175	1072476	  902271	 515920	  297109	  756118	 370764	  591649	  299603	 2192173
k__Archaea|p__Euryarchaeota	2157|28890	  15549	NA	  19386	   7610	  16540	NA	NA	NA	NA	NA	NA	NA	   5347	NA	NA	NA	NA	  14470	NA	   7312	NA	   1026	NA	NA	NA	  106558	    8788	 413982	NA	   60852	NA	  106632	  137118	 891690	  55283	NA	NA	   8454	NA	 169162	   21082	   31350	 116187	   23787	  320591	   73951
k__Bacteria|p__Proteobacteria	2|1224	  24379	  13430	  26552	   8449	NA	   7880	  15497	  90562	  15085	  20849	  36978	 184553	  21894	  33471	  83375	   4931	  68867	   3575	  15695	   4859	  76973	  32003	 161840	   66835	  513792	  437650	  153533	  65246	   19652	   29333	    3182	   94650	  176652	  44785	 260525	   13101	   21288	  38432	  123907	 651466	  168867	   31849	  37399	   19560	   93446	   14347
k__Bacteria|p__Verrucomicrobia	2|74201	    856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 144683	NA	NA	NA	NA	  10398	  23620	NA	NA	NA	NA	NA	  108650	  743539	  158778	   67373	 156452	  642636	NA	  508449	NA	    1530	  49976	NA	    2990	   97168	   5796	NA	   3232	  240543	   80054	  30054	    4541	NA	  129066
k__Bacteria|p__Synergistetes	2|508458	    155	NA	NA	    276	NA	NA	NA	NA	NA	NA	NA	   1090	    138	NA	NA	NA	NA	    167	    415	    138	NA	NA	NA	NA	NA	NA	NA	  18660	NA	NA	NA	NA	    8896	NA	NA	NA	NA	    683	NA	NA	    1082	    2074	NA	NA	  160266	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2796612	 390837	 958313	2071085	1397959	1312669	6822241	5341234	1880998	2096596	3869114	2692645	3865596	6449295	8134634	4274328	2955323	2324018	3374957	1298394	1797188	1321843	2440467	 1900063	13801896	 4888155	 4896092	1890153	 5047912	 4979086	 2464661	 5739366	 6668448	 876180	3563713	 4749751	13043434	1149555	14162237	1752491	10136583	 5835815	2693567	 8850189	10809722	 3670000
